Country Code,Year,Sex Ratio
CIV,2001,4.8312693498452015
CMR,2001,3.065051020408163
COD,2001,4.159717314487633
COG,2001,2.6831683168316833
COL,2001,3.230019493177388
COM,2001,1.8571428571428572
CPV,2001,4.6
CRI,2001,6.6
CUB,2001,2.6904761904761907
CYP,2001,2.3333333333333335
CZE,2001,4.4563492063492065
DEU,2001,3.2177676537585422
DJI,2001,2.259259259259259
DNK,2001,2.550802139037433
DOM,2001,5.0
DZA,2001,1.7196969696969697
ECU,2001,2.360424028268551
EGY,2001,1.804255319148936
ESP,2001,3.345360824742268
EST,2001,4.885245901639344
ETH,2001,2.2557572473584395
FIN,2001,3.5606694560669454
FJI,2001,2.0
FRA,2001,2.719140625
FSM,2001,3.2857142857142856
GAB,2001,4.260869565217392
GBR,2001,3.5407636738906088
GEO,2001,4.478260869565218
GHA,2001,6.122112211221122
GIN,2001,1.8779661016949152
GMB,2001,2.163265306122449
GNB,2001,3.036363636363636
GNQ,2001,4.181818181818182
GRC,2001,6.2368421052631575
GRD,2001,
GTM,2001,5.492481203007519
GUY,2001,4.155172413793103
HND,2001,4.621621621621622
HRV,2001,3.557823129251701
HTI,2001,1.2838983050847457
HUN,2001,3.908366533864542
IDN,2001,2.758056982718356
IND,2001,1.3207220431895592
IRL,2001,4.878048780487805
IRN,2001,1.7451612903225806
IRQ,2001,2.125
ISL,2001,3.375
ISR,2001,4.48
ITA,2001,3.2272108843537417
JAM,2001,3.5833333333333335
JOR,2001,2.0517241379310347
JPN,2001,2.685215946843854
KAZ,2001,5.733934611048478
KEN,2001,2.9936406995230525
KGZ,2001,5.778688524590164
KHM,2001,1.7507987220447285
KIR,2001,5.2
KWT,2001,3.5833333333333335
LAO,2001,1.7011494252873562
LBN,2001,1.565217391304348
LBR,2001,1.59375
LBY,2001,2.488095238095238
LCA,2001,5.5
LKA,2001,3.508421052631579
LSO,2001,4.220858895705521
LTU,2001,5.116666666666666
LUX,2001,2.8125
LVA,2001,5.066037735849057
MAR,2001,1.7480383609415868
MDA,2001,5.463414634146342
MDG,2001,2.512244897959184
MDV,2001,3.6666666666666665
MEX,2001,4.955244755244755
MKD,2001,4.833333333333333
MLI,2001,1.456575682382134
MLT,2001,2.25
MMR,2001,2.8538587848932675
MNE,2001,2.7586206896551726
MNG,2001,3.9152542372881354
MOZ,2001,3.87515299877601
MRT,2001,1.6615384615384616
MUS,2001,2.189189189189189
MWI,2001,3.7937219730941703
MYS,2001,3.121661721068249
NAM,2001,3.9611650485436893
NER,2001,1.880893300248139
NGA,2001,2.719678217821782
NIC,2001,2.813953488372093
NLD,2001,2.135593220338983
NOR,2001,2.953333333333333
NPL,2001,7.078616352201258
NZL,2001,3.0852713178294575
OMN,2001,6.7894736842105265
PAK,2001,2.9790090309982915
PAN,2001,6.346153846153846
PER,2001,2.0390070921985815
PHL,2001,3.2668539325842696
PNG,2001,2.978723404255319
POL,2001,6.430203045685279
PRT,2001,3.6666666666666665
PRY,2001,1.8955223880597014
QAT,2001,8.0
ROU,2001,5.794871794871795
RUS,2001,5.72869206598586
RWA,2001,2.589981447124304
SAU,2001,4.881481481481481
SDN,2001,1.879245283018868
SEN,2001,3.3293768545994067
SGP,2001,1.8461538461538463
SLB,2001,17.25
SLE,2001,2.128834355828221
SLV,2001,2.8461538461538463
SOM,2001,3.4505813953488373
SRB,2001,3.0205882352941176
SSD,2001,3.1333333333333333
STP,2001,2.0
SUR,2001,3.466666666666667
SVK,2001,5.419047619047619
SVN,2001,4.164948453608248
SWE,2001,2.364985163204748
SWZ,2001,2.869918699186992
SYC,2001,7.0
SYR,2001,3.8636363636363638
TCD,2001,3.2023809523809526
TGO,2001,3.08
THA,2001,2.4676333505955466
TJK,2001,2.3626373626373627
TKM,2001,4.862068965517241
TLS,2001,1.8125
TON,2001,1.5
TTO,2001,4.024390243902439
TUN,2001,2.015748031496063
TUR,2001,3.3390119250425894
TZA,2001,2.995308835027365
UGA,2001,4.403696498054475
UKR,2001,6.524137931034483
URY,2001,3.4752475247524752
USA,2001,4.004724940938238
UZB,2001,3.8146341463414632
VCT,2001,6.0
VEN,2001,6.4343891402714934
VNM,2001,1.8635917566241413
VUT,2001,3.7777777777777777
WSM,2001,3.142857142857143
YEM,2001,1.6291161178509532
ZAF,2001,3.5307384503455803
ZMB,2001,2.5131396957123098
ZWE,2001,2.090566037735849
AFG,2002,1.103080568720379
AGO,2002,4.4048865619546245
ALB,2002,2.2666666666666666
ARE,2002,4.319148936170213
ARG,2002,3.864864864864865
ARM,2002,4.5
ATG,2002,inf
AUS,2002,3.5055187637969096
AUT,2002,3.6222222222222222
AZE,2002,3.8805970149253732
BDI,2002,2.3286713286713288
BEL,2002,2.6142857142857143
BEN,2002,3.108303249097473
BFA,2002,2.9273743016759775
BGD,2002,2.7823225199811943
BGR,2002,3.4377682403433476
BHR,2002,5.6
BHS,2002,6.0
BIH,2002,3.753623188405797
BLR,2002,6.343511450381679
BLZ,2002,6.0
BOL,2002,2.248847926267281
BRA,2002,3.3849624060150374
BRB,2002,inf
BRN,2002,5.0
BTN,2002,1.8571428571428572
BWA,2002,3.3905325443786984
CAF,2002,3.5833333333333335
CAN,2002,3.2683870967741937
CHE,2002,2.257617728531856
CHL,2002,5.67965367965368
CHN,2002,1.3181707474319115
CIV,2002,4.835164835164835
CMR,2002,3.0652446675031366
COD,2002,4.182960893854749
COG,2002,2.5958549222797926
COL,2002,3.221294363256785
COM,2002,1.8571428571428572
CPV,2002,4.733333333333333
CRI,2002,6.365853658536586
CUB,2002,2.573170731707317
CYP,2002,2.3333333333333335
CZE,2002,4.215447154471545
DEU,2002,3.0319894829097285
DJI,2002,2.25
DNK,2002,2.7116564417177913
DOM,2002,4.487179487179487
DZA,2002,1.741811175337187
ECU,2002,2.445482866043614
EGY,2002,1.803757828810021
ESP,2002,3.2246835443037973
EST,2002,5.192982456140351
ETH,2002,2.2445166531275387
FIN,2002,3.1589958158995817
FJI,2002,1.8125
FRA,2002,2.6304185351270553
FSM,2002,3.6666666666666665
GAB,2002,4.3023255813953485
GBR,2002,3.282671829622459
GEO,2002,4.172413793103448
GHA,2002,6.2087227414330215
GIN,2002,1.903225806451613
GMB,2002,2.1153846153846154
GNB,2002,3.018181818181818
GNQ,2002,3.8636363636363638
GRC,2002,4.081632653061225
GRD,2002,inf
GTM,2002,5.125448028673835
GUY,2002,4.518518518518518
HND,2002,4.631578947368421
HRV,2002,3.279220779220779
HTI,2002,1.2717622080679405
HUN,2002,3.861855670103093
IDN,2002,2.710926694329184
IND,2002,1.3905231108553893
IRL,2002,4.329411764705882
IRN,2002,1.7341772151898733
IRQ,2002,2.126190476190476
ISL,2002,3.125
ISR,2002,3.172043010752688
ITA,2002,3.406515580736544
JAM,2002,3.727272727272727
JOR,2002,2.017857142857143
JPN,2002,2.765612058969687
KAZ,2002,5.393406593406594
KEN,2002,3.0662800331400164
KGZ,2002,5.141791044776119
KHM,2002,1.803921568627451
KIR,2002,5.2
KWT,2002,4.0
LAO,2002,1.7100591715976332
LBN,2002,1.6521739130434783
LBR,2002,1.54
LBY,2002,2.6506024096385543
LCA,2002,11.0
LKA,2002,3.495114006514658
LSO,2002,4.3273809523809526
LTU,2002,6.392857142857143
LUX,2002,3.2857142857142856
LVA,2002,4.260504201680672
MAR,2002,1.6919720767888307
MDA,2002,5.2405063291139244
MDG,2002,2.478927203065134
MDV,2002,3.6666666666666665
MEX,2002,5.324925816023739
MKD,2002,2.72
MLI,2002,1.4938875305623471
MLT,2002,2.8
MMR,2002,2.930626057529611
MNE,2002,2.793103448275862
MNG,2002,4.081081081081081
MOZ,2002,4.018270401948842
MRT,2002,1.703125
MUS,2002,3.6206896551724137
MWI,2002,3.9560975609756097
MYS,2002,3.0901162790697674
NAM,2002,3.9611650485436893
NER,2002,1.900243309002433
NGA,2002,2.6623415811707907
NIC,2002,3.2432432432432434
NLD,2002,2.207547169811321
NOR,2002,2.656934306569343
NPL,2002,6.316091954022989
NZL,2002,2.9430894308943087
OMN,2002,6.2
PAK,2002,2.944977756965582
PAN,2002,4.194444444444445
PER,2002,2.0842105263157893
PHL,2002,3.0359550561797755
PNG,2002,2.9166666666666665
POL,2002,5.443708609271523
PRT,2002,3.8536585365853657
PRY,2002,1.4761904761904763
QAT,2002,6.666666666666667
ROU,2002,5.209677419354839
RUS,2002,5.589081592432006
RWA,2002,2.5236220472440944
SAU,2002,5.021739130434782
SDN,2002,1.90625
SEN,2002,3.3255131964809386
SGP,2002,1.60989010989011
SLB,2002,17.75
SLE,2002,2.1142857142857143
SLV,2002,2.686868686868687
SOM,2002,3.398891966759003
SRB,2002,3.1702127659574466
SSD,2002,3.1404958677685952
STP,2002,3.0
SUR,2002,3.689655172413793
SVK,2002,6.681318681318682
SVN,2002,4.284090909090909
SWE,2002,2.6612377850162865
SWZ,2002,2.75
SYC,2002,7.0
SYR,2002,3.8805970149253732
TCD,2002,3.1558073654390935
TGO,2002,3.0548523206751055
THA,2002,2.626349892008639
TJK,2002,2.4767441860465116
TKM,2002,4.48062015503876
